Date,Open,High,Low,Close,Adj Close,Volume
5/20/2024,109.5,110.400002,108.370003,108.870003,108.870003,2576600
5/21/2024,105.75,105.900002,104.519997,105.139999,105.139999,3738700
5/22/2024,104.379997,104.510002,102.279999,102.410004,102.410004,3172200
5/23/2024,102.230003,104.029999,100.709999,101.43,101.43,3262000
